# Assembly name:  LBDM_Dsuz_2.1.pri
# Organism name:  Drosophila suzukii (flies)
# Infraspecific name:  strain=WT3_2.0
# Taxid:          28584
# BioSample:      SAMN13521054
# BioProject:     PRJNA594550
# Submitter:      Institut de Biologie du Developpement de Marseille
# Date:           2020-06-15
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WWNF01
# Assembly method: FALCON v. 2.3.0; CANU v. 1.3; Quickmerge v. 2017/03/15
# Expected final version: yes
# Genome coverage: 160.0x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_013340165.1
# RefSeq assembly accession: GCF_013340165.1
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCA_013340185.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013340175.1	GCF_013340175.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig_17	assembled-molecule	4	Chromosome	CM023447.1	=	NC_050699.1	Primary Assembly	2568912	na
Contig_622	unplaced-scaffold	na	na	WWNF01000501.1	=	NW_023497271.1	Primary Assembly	23696	na
Contig_624	unplaced-scaffold	na	na	WWNF01000502.1	=	NW_023497272.1	Primary Assembly	23234	na
Contig_625	unplaced-scaffold	na	na	WWNF01000503.1	=	NW_023497273.1	Primary Assembly	23384	na
Contig_628	unplaced-scaffold	na	na	WWNF01000504.1	=	NW_023497274.1	Primary Assembly	22060	na
Contig_629	unplaced-scaffold	na	na	WWNF01000505.1	=	NW_023497275.1	Primary Assembly	22051	na
Contig_63	unplaced-scaffold	na	na	WWNF01000062.1	=	NW_023497276.1	Primary Assembly	892282	na
Contig_630	unplaced-scaffold	na	na	WWNF01000506.1	=	NW_023497277.1	Primary Assembly	22147	na
Contig_631	unplaced-scaffold	na	na	WWNF01000507.1	=	NW_023497278.1	Primary Assembly	22278	na
Contig_632	unplaced-scaffold	na	na	WWNF01000508.1	=	NW_023497279.1	Primary Assembly	21690	na
Contig_633	unplaced-scaffold	na	na	WWNF01000509.1	=	NW_023497280.1	Primary Assembly	21671	na
Contig_634	unplaced-scaffold	na	na	WWNF01000510.1	=	NW_023497281.1	Primary Assembly	21545	na
Contig_635	unplaced-scaffold	na	na	WWNF01000511.1	=	NW_023497282.1	Primary Assembly	21496	na
Contig_636	unplaced-scaffold	na	na	WWNF01000512.1	=	NW_023497283.1	Primary Assembly	21388	na
Contig_637	unplaced-scaffold	na	na	WWNF01000513.1	=	NW_023497284.1	Primary Assembly	20961	na
Contig_638	unplaced-scaffold	na	na	WWNF01000514.1	=	NW_023497285.1	Primary Assembly	21076	na
Contig_639	unplaced-scaffold	na	na	WWNF01000515.1	=	NW_023497286.1	Primary Assembly	20872	na
Contig_64	unplaced-scaffold	na	na	WWNF01000063.1	=	NW_023497287.1	Primary Assembly	868059	na
Contig_640	unplaced-scaffold	na	na	WWNF01000516.1	=	NW_023497288.1	Primary Assembly	21660	na
Contig_641	unplaced-scaffold	na	na	WWNF01000517.1	=	NW_023497289.1	Primary Assembly	21253	na
Contig_642	unplaced-scaffold	na	na	WWNF01000518.1	=	NW_023497290.1	Primary Assembly	20598	na
Contig_643	unplaced-scaffold	na	na	WWNF01000519.1	=	NW_023497291.1	Primary Assembly	20360	na
Contig_644	unplaced-scaffold	na	na	WWNF01000520.1	=	NW_023497292.1	Primary Assembly	19832	na
Contig_645	unplaced-scaffold	na	na	WWNF01000521.1	=	NW_023497293.1	Primary Assembly	19853	na
Contig_646	unplaced-scaffold	na	na	WWNF01000522.1	=	NW_023497294.1	Primary Assembly	19579	na
Contig_647	unplaced-scaffold	na	na	WWNF01000523.1	=	NW_023497295.1	Primary Assembly	19595	na
Contig_648	unplaced-scaffold	na	na	WWNF01000524.1	=	NW_023497296.1	Primary Assembly	19494	na
Contig_649	unplaced-scaffold	na	na	WWNF01000525.1	=	NW_023497297.1	Primary Assembly	19393	na
Contig_65	unplaced-scaffold	na	na	WWNF01000064.1	=	NW_023497298.1	Primary Assembly	856551	na
Contig_651	unplaced-scaffold	na	na	WWNF01000526.1	=	NW_023497299.1	Primary Assembly	18968	na
Contig_652	unplaced-scaffold	na	na	WWNF01000527.1	=	NW_023497300.1	Primary Assembly	18972	na
Contig_653	unplaced-scaffold	na	na	WWNF01000528.1	=	NW_023497301.1	Primary Assembly	19521	na
Contig_654	unplaced-scaffold	na	na	WWNF01000529.1	=	NW_023497302.1	Primary Assembly	18685	na
Contig_655	unplaced-scaffold	na	na	WWNF01000530.1	=	NW_023497303.1	Primary Assembly	18588	na
Contig_656	unplaced-scaffold	na	na	WWNF01000531.1	=	NW_023497304.1	Primary Assembly	18575	na
Contig_657	unplaced-scaffold	na	na	WWNF01000532.1	=	NW_023497305.1	Primary Assembly	18185	na
Contig_658	unplaced-scaffold	na	na	WWNF01000533.1	=	NW_023497306.1	Primary Assembly	18303	na
Contig_659	unplaced-scaffold	na	na	WWNF01000534.1	=	NW_023497307.1	Primary Assembly	18404	na
Contig_66	unplaced-scaffold	na	na	WWNF01000065.1	=	NW_023497308.1	Primary Assembly	838227	na
Contig_660	unplaced-scaffold	na	na	WWNF01000535.1	=	NW_023497309.1	Primary Assembly	17903	na
Contig_661	unplaced-scaffold	na	na	WWNF01000536.1	=	NW_023497310.1	Primary Assembly	17148	na
Contig_662	unplaced-scaffold	na	na	WWNF01000537.1	=	NW_023497311.1	Primary Assembly	17458	na
Contig_663	unplaced-scaffold	na	na	WWNF01000538.1	=	NW_023497312.1	Primary Assembly	15822	na
Contig_664	unplaced-scaffold	na	na	WWNF01000539.1	=	NW_023497313.1	Primary Assembly	15597	na
Contig_665	unplaced-scaffold	na	na	WWNF01000540.1	=	NW_023497314.1	Primary Assembly	14411	na
Contig_667	unplaced-scaffold	na	na	WWNF01000541.1	=	NW_023497315.1	Primary Assembly	13552	na
Contig_668	unplaced-scaffold	na	na	WWNF01000542.1	=	NW_023497316.1	Primary Assembly	12728	na
Contig_669	unplaced-scaffold	na	na	WWNF01000543.1	=	NW_023497317.1	Primary Assembly	9144	na
Contig_67	unplaced-scaffold	na	na	WWNF01000066.1	=	NW_023497318.1	Primary Assembly	831000	na
Contig_68	unplaced-scaffold	na	na	WWNF01000067.1	=	NW_023497319.1	Primary Assembly	796615	na
Contig_69	unplaced-scaffold	na	na	WWNF01000068.1	=	NW_023497320.1	Primary Assembly	789944	na
Contig_70	unplaced-scaffold	na	na	WWNF01000069.1	=	NW_023497321.1	Primary Assembly	786925	na
Contig_71	unplaced-scaffold	na	na	WWNF01000070.1	=	NW_023497322.1	Primary Assembly	779541	na
Contig_72	unplaced-scaffold	na	na	WWNF01000071.1	=	NW_023497323.1	Primary Assembly	769360	na
Contig_73	unplaced-scaffold	na	na	WWNF01000072.1	=	NW_023497324.1	Primary Assembly	764225	na
Contig_74	unplaced-scaffold	na	na	WWNF01000073.1	=	NW_023497325.1	Primary Assembly	739427	na
Contig_76	unplaced-scaffold	na	na	WWNF01000075.1	=	NW_023497326.1	Primary Assembly	728969	na
Contig_79	unplaced-scaffold	na	na	WWNF01000076.1	=	NW_023497327.1	Primary Assembly	702258	na
Contig_80	unplaced-scaffold	na	na	WWNF01000077.1	=	NW_023497328.1	Primary Assembly	688868	na
Contig_82	unplaced-scaffold	na	na	WWNF01000078.1	=	NW_023497329.1	Primary Assembly	675933	na
Contig_83	unplaced-scaffold	na	na	WWNF01000079.1	=	NW_023497330.1	Primary Assembly	661345	na
Contig_84	unplaced-scaffold	na	na	WWNF01000080.1	=	NW_023497331.1	Primary Assembly	658573	na
Contig_86	unplaced-scaffold	na	na	WWNF01000082.1	=	NW_023497332.1	Primary Assembly	646049	na
Contig_87	unplaced-scaffold	na	na	WWNF01000083.1	=	NW_023497333.1	Primary Assembly	639529	na
Contig_88	unplaced-scaffold	na	na	WWNF01000084.1	=	NW_023497334.1	Primary Assembly	628553	na
Contig_89	unplaced-scaffold	na	na	WWNF01000085.1	=	NW_023497335.1	Primary Assembly	622073	na
Contig_90	unplaced-scaffold	na	na	WWNF01000086.1	=	NW_023497336.1	Primary Assembly	613703	na
Contig_91	unplaced-scaffold	na	na	WWNF01000087.1	=	NW_023497337.1	Primary Assembly	613795	na
Contig_92	unplaced-scaffold	na	na	WWNF01000088.1	=	NW_023497338.1	Primary Assembly	595207	na
Contig_93	unplaced-scaffold	na	na	WWNF01000089.1	=	NW_023497339.1	Primary Assembly	587223	na
Contig_94	unplaced-scaffold	na	na	WWNF01000090.1	=	NW_023497340.1	Primary Assembly	565747	na
Contig_96	unplaced-scaffold	na	na	WWNF01000091.1	=	NW_023497341.1	Primary Assembly	561841	na
Contig_97	unplaced-scaffold	na	na	WWNF01000092.1	=	NW_023497342.1	Primary Assembly	557853	na
Contig_98	unplaced-scaffold	na	na	WWNF01000093.1	=	NW_023497343.1	Primary Assembly	548533	na
Contig_99	unplaced-scaffold	na	na	WWNF01000094.1	=	NW_023497344.1	Primary Assembly	544440	na
